Scan_ID,Location,Run,ASUS,BBA-1028,CI3D,CI3D_5G,ConnLab,ConnLab-Guest,IB-9F,Library-Office,MUTEC,NTUST-PEAP,NTUST-UAM,RB501,ROOM-810_ç°æ§,TR-1021_5G,Yie & Esther,Yie Office,eduroam
7,Hallway/LeftEnd,2,-100.0,-100.0,-100.0,-100.0,-88.0,-93.5,-100.0,-91.5,-100.0,-87.85714285714286,-88.27272727272727,-100.0,-100.0,-100.0,-100.0,-100.0,-90.84615384615384
7,Hallway/LeftEnd,3,-96.0,-100.0,-100.0,-100.0,-78.5,-78.5,-100.0,-80.5,-100.0,-77.2,-78.63636363636364,-95.0,-94.0,-100.0,-100.0,-100.0,-78.8
7,Hallway/LeftEnd,4,-100.0,-100.0,-87.0,-100.0,-92.0,-91.0,-100.0,-91.5,-100.0,-82.66666666666667,-84.78947368421052,-100.0,-100.0,-100.0,-100.0,-100.0,-87.9
7,Hallway/LeftEnd,5,-94.0,-100.0,-92.0,-100.0,-86.0,-86.0,-100.0,-87.0,-100.0,-83.27272727272727,-83.88888888888889,-100.0,-100.0,-100.0,-100.0,-100.0,-84.36363636363636
7,LaptopPriority/CurrentPeriodicals,1,-63.0,-100.0,-100.0,-94.0,-100.0,-100.0,-96.0,-100.0,-100.0,-77.94117647058823,-80.35,-95.0,-100.0,-96.0,-100.0,-100.0,-82.57692307692308
7,LaptopPriority/CurrentPeriodicals,2,-100.0,-95.0,-100.0,-78.0,-100.0,-100.0,-90.0,-100.0,-100.0,-73.64285714285714,-73.61538461538461,-100.0,-91.0,-89.0,-100.0,-100.0,-79.1875
7,LaptopPriority/CurrentPeriodicals,3,-100.0,-96.0,-100.0,-85.0,-100.0,-100.0,-91.0,-100.0,-100.0,-74.66666666666667,-73.73333333333333,-100.0,-91.0,-100.0,-88.0,-88.0,-76.6470588235294
7,LaptopPriority/CurrentPeriodicals,4,-100.0,-91.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.88235294117646,-78.94117647058823,-82.0,-93.0,-100.0,-90.0,-89.0,-79.375
7,LaptopPriority/CurrentPeriodicals,5,-100.0,-91.0,-100.0,-88.0,-96.0,-100.0,-100.0,-100.0,-100.0,-72.3076923076923,-71.5,-85.0,-100.0,-80.0,-81.0,-86.0,-73.86666666666666
7,MainStairs/TopPicks,1,-100.0,-91.0,-74.0,-82.0,-75.0,-83.0,-96.0,-76.0,-100.0,-75.06666666666666,-78.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-79.41176470588235
7,MainStairs/TopPicks,2,-100.0,-100.0,-100.0,-88.0,-75.5,-80.0,-95.0,-77.0,-100.0,-81.57894736842105,-82.82608695652173,-100.0,-95.0,-100.0,-97.0,-95.0,-85.62962962962963
7,MainStairs/TopPicks,3,-100.0,-100.0,-100.0,-97.0,-84.0,-77.0,-90.0,-84.0,-100.0,-75.07142857142857,-79.55555555555556,-94.0,-82.0,-100.0,-100.0,-100.0,-78.33333333333333
7,MainStairs/TopPicks,4,-100.0,-94.0,-77.0,-97.0,-79.0,-79.5,-97.0,-77.5,-100.0,-73.53846153846153,-76.21428571428571,-100.0,-93.0,-100.0,-91.0,-92.0,-74.15384615384616
7,MainStairs/TopPicks,5,-100.0,-100.0,-77.0,-83.0,-77.0,-84.0,-94.0,-77.0,-100.0,-70.88888888888889,-67.66666666666667,-100.0,-100.0,-100.0,-93.0,-90.0,-72.3
7,Stairs/RightEnd,1,-88.0,-100.0,-100.0,-100.0,-90.0,-88.0,-100.0,-88.0,-100.0,-84.45454545454545,-89.28571428571429,-89.0,-100.0,-100.0,-100.0,-100.0,-87.0625
7,Stairs/RightEnd,2,-100.0,-100.0,-100.0,-100.0,-98.0,-100.0,-100.0,-95.0,-100.0,-86.88888888888889,-90.28571428571429,-100.0,-88.0,-91.0,-89.0,-89.0,-90.78571428571429
7,Stairs/RightEnd,3,-92.0,-97.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-86.72727272727273,-82.0,-100.0,-96.0,-89.0,-87.0,-87.61538461538461
7,Stairs/RightEnd,4,-100.0,-88.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.44444444444444,-89.16666666666667,-93.0,-100.0,-95.0,-77.0,-84.0,-90.0
7,Stairs/RightEnd,5,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.66666666666667,-85.0,-94.0,-100.0,-90.0,-90.0,-89.0,-87.85714285714286
7,TopPicks/Audiovisual,1,-100.0,-100.0,-100.0,-94.0,-81.5,-80.0,-100.0,-81.5,-100.0,-78.89473684210526,-80.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-81.75
7,TopPicks/Audiovisual,2,-100.0,-100.0,-100.0,-100.0,-86.0,-79.0,-88.0,-87.0,-100.0,-73.3076923076923,-75.76923076923077,-100.0,-100.0,-100.0,-100.0,-100.0,-72.54545454545455
7,TopPicks/Audiovisual,3,-100.0,-100.0,-100.0,-95.0,-85.0,-72.0,-100.0,-80.0,-100.0,-80.375,-80.66666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-81.625
